prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndG_bin_040_k141_145993_fragment_9	IndG_bin_040_k141_145993	no	9.335683430998888e-31	0.8496070480610808	1.4543680482705246	4.239110799576823	6403	13.568795876932688	13	5.297586664098862	503711	9.329685077355865	9	4.661084879186961
IndG_bin_018_k141_105067_fragment_6	IndG_bin_018_k141_105067	no	nan	0	0	0	16890	0	0.0	0.0	220727	0	0	0.0
IndG_bin_038_k141_135932_fragment_1	IndG_bin_038_k141_135932	no	0.28543796608028854	0.021028235792823306	1.0291287265143474	0.027382129760102236	15470	0.967420814479638	0.0	1.3355408192497147	7755	0.9400386847195358	0	1.267900866073391
IndG_bin_049_k141_27214_fragment_1	IndG_bin_049_k141_27214	no	nan	0	0	0	10198	0	0.0	0.0	14273	0	0	0.0
IndG_bin_032_k141_129575_fragment_2	IndG_bin_032_k141_129575	no	0.0675456564456648	0	0.8213639204042026	-0.045405300794358366	12243	0.20877235971575595	0	0.5271874748160144	117111	0.2541776605101143	0	0.6049979240333537
IndG_bin_017_k141_181660_fragment_1	IndG_bin_017_k141_181660	no	nan	0	0.0	-1.4442070466822543	8057	0	0	0.0	49612	1.4442070466822543	1.0	1.718026445011817
IndG_bin_010_k141_124200_fragment_1	IndG_bin_010_k141_124200	no	9.946548783227486e-05	0	0.7561798015268425	-0.5200791158575888	12110	1.6129644921552435	1.0	1.7202328250545178	53614	2.1330436080128323	2.0	2.0513160013241323
IndG_bin_043_k141_204728_fragment_1	IndG_bin_043_k141_204728	no	0.5667590643012754	0	0.8495431375023291	-0.2815319483911123	46409	1.5896485595466396	1	2.0876504740934365	153129	1.871180507937752	1	2.180729913304301
IndG_bin_030_k141_45199_fragment_1	IndG_bin_030_k141_45199	no	0.8155730178498921	0	0.9468417604084588	-0.2752040669086524	31040	4.9018685567010305	4.0	3.13325666415743	21398	5.177072623609683	5.0	3.0885278291568805
IndG_bin_037_k141_136801_fragment_1	IndG_bin_037_k141_136801	no	1.5182353003281846e-108	0	0.08063577107732696	-12.909116892099654	12871	1.1322352575557455	0	4.602294414374673	6094	14.041352149655399	16.0	9.012925227060201
IndG_bin_014_k141_136856_fragment_1	IndG_bin_014_k141_136856	no	9.321078668886802e-27	0.7080250400859348	1.624156400430841	2.264183175762538	17223	5.891772629623178	5	3.7296442778811834	4248	3.62758945386064	3.0	2.557870190135733
IndG_bin_012_k141_3199_fragment_1	IndG_bin_012_k141_3199	no	0.093338449775262	0.06711196397820031	1.1841254427465817	0.043178454386514326	8895	0.2776840921866217	0	0.6860524024021842	52148	0.23450563780010739	0.0	0.597667280207638
IndG_bin_050_k141_162664_fragment_1	IndG_bin_050_k141_162664	yes	3.804008284329357e-58	1.1181891294863067	1.8399168033750744	4.439839013503992	64929	9.725885197677464	10	4.5192882869641755	28408	5.286046184173472	5.0	3.332679849560592
IndG_bin_012_k141_181285_fragment_1	IndG_bin_012_k141_181285	no	0.09688949213087929	0.2368079152067353	1.886164913224865	0.17283385132786971	6872	0.3678696158323632	0.0	0.8865187706199966	163570	0.1950357645044935	0.0	0.528622279352762
IndG_bin_041_k141_35984_fragment_2	IndG_bin_041_k141_35984	no	0.36489562478173587	0.18499282620520838	1.1730687016974866	0.43027940467960457	34461	2.9164562839151507	2	2.419142066002282	70534	2.486176879235546	2.0	2.2288122700323556
IndG_bin_051_k141_72558_fragment_2	IndG_bin_051_k141_72558	no	7.090841653388169e-05	0.32509554852687356	1.2403742104193556	0.9802050884976987	28190	5.058034764100745	5.0	3.130284698215877	78145	4.077829675603046	4	2.895397410712839
IndG_bin_058_k141_54591_fragment_1	IndG_bin_058_k141_54591	no	1.2723974562540212e-10	0.5117472332838199	1.0713577085452406	89.70804112543988	7974	1346.8678204163532	1357.0	159.97432170509975	76662	1257.1597792909133	1260.0	189.38501840612994
IndG_bin_053_k141_5453_fragment_1	IndG_bin_053_k141_5453	no	0.42827173911672817	0.04316090063198709	1.0152821498061477	0.2359528650419005	15166	15.67572200975867	15.0	5.530607224999514	39332	15.43976914471677	15.0	5.402279204859014
